Released_Year, Action, Adventure, Biography, Comedy, Crime, Drama, Family, Fantasy, Film-Noir, History, Horror, Music, Musical, Mystery, Romance, Sci-Fi, Sport, Thriller, War, Western,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Horror,Mystery,Western
1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
1989,0,1,0,1,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0
1990,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
1991,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0
1992,0,2,0,1,1,5,1,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,1,2,2,2,0,0,0,0
1993,0,1,1,0,1,5,0,1,0,1,0,0,0,0,3,1,0,0,0,0,3,0,0,1,2,2,3,0,0,0,0
1994,0,1,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0
1995,0,2,0,1,0,3,0,0,0,1,0,0,0,2,3,0,0,2,0,0,1,0,1,1,0,3,3,0,0,0,0
1996,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,0,0,0
1997,0,1,0,0,1,5,0,0,0,0,0,0,0,2,3,2,0,2,0,0,2,0,0,1,1,2,4,0,0,0,0
1998,0,1,0,2,2,4,1,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,1,0,4,0,3,0,0,1,0
1999,1,2,0,2,1,5,0,3,0,0,0,0,0,1,0,1,1,3,0,0,2,0,3,3,2,1,4,0,0,0,0
2000,0,1,0,2,3,6,0,0,0,0,0,1,1,0,1,0,1,2,0,0,1,3,0,1,2,1,3,0,0,1,0
2001,0,3,0,2,1,6,0,0,0,2,0,1,0,2,1,1,0,3,2,0,1,0,2,2,3,2,4,0,1,0,0
2002,0,2,0,0,2,6,0,0,0,0,0,1,0,2,0,0,0,2,0,0,4,0,0,2,1,1,1,0,0,0,0
2003,0,3,0,1,1,8,0,2,0,0,0,0,0,1,0,0,0,1,0,0,4,1,1,0,2,2,0,0,0,0,0
2004,1,1,0,0,2,6,3,1,0,1,1,1,1,2,3,2,1,7,0,0,3,1,1,3,1,2,7,0,1,0,0
2005,0,2,0,0,1,5,1,1,0,2,0,2,0,0,3,2,1,2,0,0,4,1,0,3,0,1,4,0,0,0,0
2006,0,3,0,0,2,14,0,2,0,1,0,0,0,4,1,2,0,4,1,0,5,2,0,2,3,3,4,0,0,0,0
2007,0,1,2,2,3,8,1,2,0,0,0,2,0,5,2,0,0,2,0,0,4,2,2,2,0,2,4,0,0,0,0
2008,0,2,0,0,3,4,1,1,0,2,0,0,0,0,2,1,1,1,1,0,3,0,1,2,1,0,7,0,0,0,0
2009,0,7,0,3,0,6,4,2,0,0,0,0,0,3,1,3,1,1,1,0,6,2,4,2,2,0,1,0,0,0,0
2010,1,4,0,4,2,4,0,0,0,1,0,0,0,1,1,1,1,2,1,1,2,0,4,3,1,0,4,0,0,1,0
2011,0,0,0,0,0,6,0,1,0,0,0,0,0,1,3,0,2,0,0,0,1,0,0,1,3,2,1,0,0,0,0
2012,0,4,0,1,1,5,0,2,0,0,0,0,0,0,4,1,0,2,0,1,4,2,1,1,2,0,3,0,0,0,0
2013,0,1,2,2,2,8,0,2,0,1,0,0,0,1,3,3,0,1,0,0,2,3,0,4,1,1,4,0,0,0,0
2014,3,8,0,2,1,5,0,0,0,0,0,1,0,1,2,5,0,4,0,0,5,2,3,2,0,1,5,0,0,0,0
2015,0,3,0,2,2,7,0,0,0,2,0,0,0,1,0,2,1,2,0,0,3,1,1,3,0,1,3,0,0,0,0
2016,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
